微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ID5XXpsoP,【送别#南京大屠杀幸存者姚秀英去世#】据@侵华日军南京大屠杀遇难同胞纪念馆 ，12日12时，南京大屠杀幸存者姚秀英去世，享年89岁。截至目前，南京侵华日军受害者援助协会登记在册在世的幸存者仅剩75位。  原图 ,,http://wx4.sinaimg.cn/large/eaaf2affly1gdrve8uaqpj20cs0jw0vm.jpg,无,无,2020-04-13 09:13,无,7780,748,1482
ID5uuEaa8,【#委内瑞拉为中国医疗专家组全体成员授勋#】11日下午，中国抗疫医疗专家组一行8人圆满完成援助委内瑞拉抗疫任务启程回国。为了表彰专家组为委疫情防控所作突出贡献，委内瑞拉政府当天在机场向专家组全体成员授予“弗朗西斯科·德·米兰达”二级勋章。委内瑞拉副总统罗德里格斯感谢专家组辛勤付出，无私分享中国抗疫成功经验。他说，马杜罗总统批准授予专家组全体成员勋章，表达了委政府和人民对专家组的深厚情谊。#人类命运共同体# @新华国际                  原图                             ,,http://wx3.sinaimg.cn/large/eaaf2affly1gdr68avpbvj20dw09amy0.jpg,无,无,2020-04-13 08:00,无,1907,183,268
ID1EnxPYf,花开疫散，春暖人间，这个周末你都去哪儿啦？ #团宝卧谈会#  原图 ,,http://wx2.sinaimg.cn/large/eaaf2affly1gdrccc9ckkg20b40b4aql.gif,无,无,2020-04-12 22:14,无,89940,335,2290
ID1gDqAAH,【70年后，钟南山又戴起了红领巾】“广州1949年解放，1950年就组建少先队。那个时候我才十三四岁，《少先队员之歌》我现在都还记得。”4月10日，钟南山院士勉励少先队员们，相信科学、勤奋学习，将来报效祖国和人民。70年弹指一挥间，中华大地花开雾散，国泰民安。@广东共青团 #让红领巾更加鲜艳#共青团中央的微博视频                                 ,,无,"http://f.video.weibocdn.com/UBqaWO1Zlx07CrErM4Ba010412007lSU0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622495281&ssig=QLrXBr69BT&KID=unistore,video",无,2020-04-12 21:15,微博视频号,5631,579,502
ID0LYwgFh,【暖心！指挥交通的外卖小哥找到了】4月4日，深圳一处交通信号灯发生故障，一名外卖小哥临时当起交通指挥员，疏导拥堵车辆。随后交警到场“接棒”，小哥默默离开。4月10日，深圳交警找到这位暖心小哥并表示感谢，外卖公司奖励他666元骑士奖金。这样的人，这样的事，真好新华网的微博视频  ,,无,无,无,2020-04-12 20:00,微博视频号,5705,349,436
ID0gao3N6,【河南#高三学生在食堂考场式就餐# 学生：吃出了考试的感觉】4月10日，河南郑州第七中学高三学生复课，学校食堂的餐桌上都设置了隔板，学生们要按照隔板上的姓名就座。学生们说，有自己的专属座位很有安全感，也有学生调侃，感觉食堂变成了考场，吃出了考试的感觉。人民视频的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/p2SGvYGglx07Cqngenu001041200yhmM0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495282&ssig=fLrkRKotPh&KID=unistore,video",无,2020-04-12 18:41,微博视频号,2983,176,314
ICZGGrVEh,【定了！#北京高考时间#：7月7日-10日】今天，北京市明确了2020年北京高考时间为7月7日至10日，#北京中考时间#为7月17日至19日。乾坤未定，你我皆是黑马。加油  原图 ,,http://wx1.sinaimg.cn/large/eaaf2affly1gdr3l7jwdgj20e00g1dgw.jpg,无,无,2020-04-12 17:14,无,946,79,188
ICZ2JnNVW,【#张静静丈夫回国#】据@央视新闻，昨天，山东大学齐鲁医院援湖北女护师张静静的丈夫韩文涛搭乘海航HU492航班回国。今天凌晨，该航班落地陕西西安。4月6日，山东援鄂医疗队员张静静，在按规定集中隔离医学观察期满，即将返家休息时，突发心脏骤停逝世。  原图 ,,http://wx1.sinaimg.cn/large/eaaf2affly1gdr0tz03o8j20eq0a8gn1.jpg,无,无,2020-04-12 15:36,无,1698,111,229
ICXW4cxrh,为何🇺🇸成为受新冠病毒打击最严重的国家？“都是🇨🇳和WHO的错。”（冤）@今日俄罗斯RT 今日俄罗斯RT的微博视频  ,,无,"http://f.video.weibocdn.com/NMFD4uBQlx07Cllydwne01041200Zjwj0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495285&ssig=ew77DhvroN&KID=unistore,video",无,2020-04-12 12:46,微博视频号,3898,397,630
ICXmRoCq8,【听话！#钟南山称还不是摘口罩的时候#】钟南山表示，现在还不是摘口罩的时候。现在国内外情况悬殊，#中国已步入疫情第二阶段#，而其他一些主要国家还处在大暴发的第一阶段。这意味着人传人的几率非常高，戴口罩仍是很重要的自我防护手段，现在就提出不戴为时过早。不过，在疫情不严重的地区，人少的地方或空旷场所，倒不见得必须戴。 #人民日报的微博视频                                 ,,无,"http://f.video.weibocdn.com/t9vnLNdXlx07CqSn4YwE010412005wRz0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495291&ssig=SmTQ5RyU4M&KID=unistore,video",无,2020-04-12 11:20,微博视频号,1621,442,424
