微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
K57u7cDF4,【习近平：我很牵挂玉树】在十三届全国人大四次会议青海代表团审议上，习近平与扎西多杰代表交流时说：“玉树建设的情况，我都是非常关心的，也非常高兴。你讲到人们通过抗震救灾、通过扶贫攻坚，看到了党的关怀、党的力量，真正让我们的子孙后代也都能过上健康、现代、幸福的生活，玉树的将来就会更好。我很牵挂玉树的。” #两会青关注#  央视新闻的微博视频                                 ,,无,"http://f.video.weibocdn.com/1O5NbdSElx07KUhl9yz60104120072vJ0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485333&ssig=4uCZX%2FEtzI&KID=unistore,video",无,2021-03-07 20:03,微博视频号,823,77,118
K575GqAl7,“你看你看啥，他看他看啥”，大家一起瞅瞅《他们今天看的啥》，中不中？#两会青关注#河南新闻广播的微博视频#河南话Rap版政府工作报告来啦#  ,,无,无,无,2021-03-07 19:03,微博视频号,1498,241,263
K56CVrJMJ,【再迎万吨大驱！拉萨舰官宣亮相】近日，青岛某军港，拉萨舰正式官宣亮相。拉萨号是我国研制建造的新一代055型驱逐舰二号舰，首舰为南昌舰。055型驱逐舰装备有新型防空、反导、反舰、反潜武器，具有较强的信息感知、防空反导和对海打击能力，是海军实现战略转型发展的标志性战舰！央视军事的微博视频                                 ,,无,"http://f.video.weibocdn.com/Q3F4wf6Wlx07KTOuIPhK010412006DS20E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485341&ssig=VtTwpg%2FE2L&KID=unistore,video",无,2021-03-07 17:52,微博视频号,1454,215,242
K564Ylyea,王毅：#中国政府在台湾问题上没有妥协余地#，没有退让空间。#两会青关注# 共青团中央的微博视频  ,,无,无,无,2021-03-07 16:29,微博视频号,1765,214,288
K563PrwgU,【王毅：#新疆地区种族灭绝说法荒谬绝伦#】说到“种族灭绝”，大多数人想到的是16世纪的北美印第安人，19世纪的非洲黑奴，20世纪的犹太人，以及至今仍在坚持抗争的澳洲原住民。所谓新疆地区存在“种族灭绝”的说法荒谬绝伦，完全是别有用心的造谣，彻头彻尾的谎言。他们并不在乎什么是真相，而是热衷于政治操弄，企图人为制造出所谓涉疆问题，破坏新疆地区安全稳定，阻碍中国发展壮大。#两会青关注# 共青团中央的微博视频                                 ,,无,无,无,2021-03-07 16:26,微博视频号,1259,145,104
K55Yar4k5,【#中俄联手反对颜色革命#】“中俄组合”团结如山，始终是世界和平稳定的中流砥柱。我们将打造战略互信的典范，坚定支持对方维护核心重大利益，联手反对“颜色革命”，打击各种虚假信息，维护各自主权和政权安全。#两会青关注# 共青团中央的微博视频  ,,无,无,无,2021-03-07 16:12,微博视频号,3832,823,498
K55O05IA5,【#王毅说如不爱国谈何爱港#】放眼世界，无论在哪个国家，效忠自己的祖国都是公职人员以及竞选公职的人必须遵守的基本政治伦理。在香港也一样。香港是中国的特别行政区，是中华人民共和国的一部分。如果不爱国，谈何爱港。爱港和爱国是完全一致的。 #两会青关注# 共青团中央的微博视频  ,,无,"http://f.video.weibocdn.com/xVg9Az62lx07KU2UepuU010412002mVr0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622485355&ssig=epWHep%2BPqq&KID=unistore,video",无,2021-03-07 15:47,微博视频号,1408,210,172
K55xM1aSU,【习近平：“大思政课”我们要善用之】3月6日，习近平总书记看望参加全国政协会议的医药卫生界教育界委员。听完委员们的讲述，总书记颔首赞许：“思政课不仅应该在课堂上讲，也应该在社会生活中来讲”，并感慨现在的年轻人心态在变，中国已经可以平视这个世界了。#两会青关注#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/004isIazly1gobctxxrt9j612w0u0wig02.jpg,http://ww2.sinaimg.cn/large/004isIazly1gobctyvinkj60u0299wtp02.jpg",无,无,2021-03-07 15:07,无,1036,153,87
K552GrY1L,【#梁振英感叹国家给了香港多少机遇啊#】全国政协副主席梁振英：“十四五”规划关于香港的部分里，包括金融、贸易、航运、人民币离岸服务中心等等。“我很羡慕香港年轻人。新一代的香港人也是中国人，是我们国家的一分子，在国家总的发展势头里面，给我们多少机遇啊！” #两会青关注#...全文 ,,无,"http://f.video.weibocdn.com/SAtmnC2dlx07KTI82SME010412009EHO0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485364&ssig=bQf2xlMmGU&KID=unistore,video",无,2021-03-07 13:50,微博视频号,806,93,117
K54iYEDXF,【男孩收到意外奖状哽咽：我会变的更好】为鼓励学生，老师特意颁发“最具期待奖”。小男孩激动落泪：我会变得更好！加油小伙！ 共青团中央的微博视频  ,,无,无,无,2021-03-07 11:58,微博视频号,6568,523,594
K53SLf9LX,【戍边战士匿名捐出立功奖金】近日，西藏阿里地区红十字会收到一笔3000元的匿名捐款，落款署名是“咱们阿里一个兵”。信中说，这笔钱是自己的三等功奖金，希望捐献出去让这份荣誉变得更有意义。感谢！ 央视军事的微博视频  ,,无,"http://f.video.weibocdn.com/hNcG4zeWlx07KSwiO1qo01041200thv50E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485367&ssig=9ptZOVG3%2Bf&KID=unistore,video",无,2021-03-07 10:53,微博视频号,1534,163,199
K53rSmRwo,梁振英：危害国家和香港利益的人，肯定要排除出去，确保#爱国者治港# ！#两会青关注# （央视） 共青团中央的微博视频  ,,无,无,无,2021-03-07 09:47,微博视频号,2263,201,259
K532DsmJ6,【未来5年这些行业值得关注】3月5日，“十四五”规划和2035年远景目标纲要草案提请十三届全国人大四次会议审查。新一代人工智能、集成电路、教育、养老、医药卫生……未来5年，哪些行业值得关注？戳，一起了解↓↓有你感兴趣的吗？#两会青关注#  [组图共18张] 原图 ,,"http://ww3.sinaimg.cn/large/004isIazly1gob1t9a4v2j60m813x44b02.jpg,http://ww3.sinaimg.cn/large/004isIazly1gob1t9ieetj60m8103jxg02.jpg,http://ww4.sinaimg.cn/large/004isIazly1gob1t9q1hoj60m80uqtcu02.jpg,http://ww1.sinaimg.cn/large/004isIazly1gob1t9wrg0j60m80rewic02.jpg,http://ww1.sinaimg.cn/large/004isIazly1gob1ta8rp3j60m8196agu02.jpg,http://ww1.sinaimg.cn/large/004isIazly1gob1taihvoj60m810adll02.jpg,http://ww2.sinaimg.cn/large/004isIazly1gob1tasiw2j60m810c43602.jpg,http://ww4.sinaimg.cn/large/004isIazly1gob1tb1vfbj60m80wkgq202.jpg,http://ww1.sinaimg.cn/large/004isIazly1gob1tbaiebj60m813ztew02.jpg,http://ww4.sinaimg.cn/large/004isIazly1gob1tbjam0j60m818bgrd02.jpg,http://ww3.sinaimg.cn/large/004isIazly1gob1tbtv7cj60m819un4l02.jpg,http://ww4.sinaimg.cn/large/004isIazly1gob1tc1darj60m8108gq002.jpg,http://ww1.sinaimg.cn/large/004isIazly1gob1tc9b8zj60m814w78p02.jpg,http://ww4.sinaimg.cn/large/004isIazly1gob1tcgm7lj60m813oq8402.jpg,http://ww4.sinaimg.cn/large/004isIazly1gob1tcozy3j60m819u7br02.jpg,http://ww1.sinaimg.cn/large/004isIazly1gob1tcy5z6j60m819u45q02.jpg,http://ww1.sinaimg.cn/large/004isIazly1gob1td5aawj60m80zwn1e02.jpg,http://ww3.sinaimg.cn/large/004isIazly1gob1tdcyv8j60m816a0yr02.jpg",无,无,2021-03-07 08:45,无,1004,448,207
K4Z268eAA,如果有机会转换一个新身份，你想挑战生活中的哪个角色？#新职业青年##团团卧谈会#   原图 ,,http://wx1.sinaimg.cn/large/004isIazly1goak4cv8f3j60xc0xc0xs02.jpg,无,无,2021-03-06 22:32,无,2199,144,991
K4YHJa1oo,医者仁心！#医护听到患者良性鼓掌欢呼#，对于医护来说，没有什么比患者的健康更让人激动。 共青团中央的微博视频  ,,无,无,无,2021-03-06 21:42,微博视频号,6041,352,401
K4Y7sdWkH,女同胞们，快来查收总书记的节日祝福啦！习近平向全国各族各界妇女致以节日的祝贺和美好的祝福。#国际劳动妇女节# 共青团中央的微博视频  ,,无,无,无,2021-03-06 20:13,微博视频号,1873,205,218
K4XXujeWC,【敲黑板！3分钟看未来5年生活如何改变】未来5年，哪些领域有更多新机会？你我的生活又会有哪些新变化？戳视频↓↓别错过#两会青关注# 人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/qYx0zjNalx07KS5CX4GA01041201ciV00E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485373&ssig=yQ13qeemPd&KID=unistore,video",无,2021-03-06 19:48,微博视频号,512,136,106
K4Xn3xyRF,【#老人去世前点外卖感谢公交司机#】近日，山东淄博一位老人为感谢89路公交司机曾经的搀扶和帮助，连续10天给公交司机点外卖。3月3日，司机收到一份冰淇淋，附带一张字条：“这是我最后一次给你们点外卖了，生命最后我做了想做的事情，没留下遗憾。”善良的老奶奶，一路走好。 星视频的微博视频                                 ,,无,"http://f.video.weibocdn.com/jHhuEj0Nlx07KQCh1V4c01041200aJgL0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485380&ssig=qGrr6en45U&KID=unistore,video",无,2021-03-06 18:18,微博视频号,1968,192,200
K4WP5jPDI,降！降！降！今年，政府工作报告明确多项减税降费政策↓↓哪些内容与你有关？#两会青关注#  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/004isIazly1goa63ptte3j60u01hc7ja02.jpg,http://ww2.sinaimg.cn/large/004isIazly1goa63qcjkgj60u01hc16u02.jpg,http://ww4.sinaimg.cn/large/004isIazly1goa63qv7m0j60u01hcnbc02.jpg,http://ww1.sinaimg.cn/large/004isIazly1goa63rblgzj60u01hc17702.jpg,http://ww1.sinaimg.cn/large/004isIazly1goa63ru3uvj60u01hcaq002.jpg,http://ww3.sinaimg.cn/large/004isIazly1goa63scz94j60u01hc4ds02.jpg,http://ww3.sinaimg.cn/large/004isIazly1goa63tfvc1j60u01hctot02.jpg,http://ww4.sinaimg.cn/large/004isIazly1goa63uffz6j60u01hcqib02.jpg,http://ww3.sinaimg.cn/large/004isIazly1goa63v3ouwj60u01hctop02.jpg",无,无,2021-03-06 16:55,无,707,156,160
K4WnraWmO,在全面建设社会主义现代化国家新征程中，#新职业青年#是人民群众美好生活的创造者和守护者。你的工作属于哪个新职业呢？ 你的工作属于哪个新职业呢？  ,,无,无,无,2021-03-06 15:47,无,2821,88,246
K4VTQr5rz,这首歌，赵老哥李大妈郑阿姨王阿弟听了都说好！ #两会青关注# 中国政府网的微博视频  ,,无,"http://f.video.weibocdn.com/LktmKmOIlx07KReeNCR201041200BrQk0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485388&ssig=4DrlxFzZw2&KID=unistore,video",无,2021-03-06 14:34,微博视频号,663,351,464
K4UWU2X4D,【#团中央建言促进新职业青年成长发展#】网络主播、全媒体运营人员、电子竞技员、宠物摄影师……随着一大批新职业的应势而生，#新职业青年#群体的社会保障不足、成长发展压力大等权益也引发各界关注。今年两会，共青团中央提交《关于促进新职业青年成长发展的提案》，共同为新职业青年群体的成长鼓与呼！#两会青关注# 详戳↓↓ 团中央建议促进新职业青年健康发展                                 ,,无,无,无,2021-03-06 12:08,微博 weibo.com,876,252,142
K4UyrmHer,【#西方记者如何拍到自己想要的照片#】当西方摄影记者发现正在执勤的中国武警后，骚扰了半天终于拍到想要的照片↓↓ @帝吧官微  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/004isIazly1goa0jrn2ldj60u01gbtn502.jpg,http://ww1.sinaimg.cn/large/004isIazly1goa0js3nt8j60u01apk5z02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go9ydxmltbj60u01ufwvt02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go9xw68gjrj60qy0k8wkt02.jpg,http://ww4.sinaimg.cn/large/004isIazly1go9xw6yq49j61400u0n5a02.jpg,http://ww4.sinaimg.cn/large/004isIazly1go9xw7gp6aj61400u0q9s02.jpg,http://ww4.sinaimg.cn/large/004isIazly1go9xw5mtntj60h00bcjrt02.jpg,http://ww4.sinaimg.cn/large/004isIazly1go9xw5s1agj60h00bd74f02.jpg,http://ww1.sinaimg.cn/large/004isIazly1goa0jr7knwj60h00bcmxv02.jpg",无,无,2021-03-06 11:08,无,10230,1110,709
K4Ub86Bti,【我叫“继焦”，#焦裕禄当年救活的那个孩子#】55年前，焦裕禄看到一岁的张徐州病重，自掏腰包安排治疗。“是他老人家给了我第二次生命”焦裕禄去世后，为继承遗志，张徐州改名张继焦。2015年，张继焦作为一名脱贫攻坚扶贫干部，三年间帮助许多贫困户“摘了帽”。如今，他在焦裕禄纪念园向更多人讲述着焦裕禄的故事。 中国搜索的微博视频                                 ,,无,"http://f.video.weibocdn.com/bhrKxShulx07KPkLAZN601041200WnOX0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485401&ssig=B%2BuTfphNaO&KID=unistore,video",无,2021-03-06 10:11,微博视频号,2422,379,232
K4TFm0Bhs,政府工作报告中的热词，用英语怎么说？戳↓↓一起学习#青年大学习#  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/004isIazly1go9wfmfhg6j60u00u00x702.jpg,http://ww2.sinaimg.cn/large/004isIazly1go9wfmq9xgj60u00u042r02.jpg,http://ww4.sinaimg.cn/large/004isIazly1go9wfmz5lqj60u00u00wu02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go9wfn8tdxj60u00u0aeh02.jpg,http://ww2.sinaimg.cn/large/004isIazly1go9wfnu6loj60u00u0ad202.jpg,http://ww2.sinaimg.cn/large/004isIazly1go9wfo4kstj60u00u0gpz02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go9wfoeq3hj60u00u078002.jpg,http://ww4.sinaimg.cn/large/004isIazly1go9wfonrdnj60u00u0jv902.jpg,http://ww2.sinaimg.cn/large/004isIazly1go9wfow0y6j60u00u0n1002.jpg",无,无,2021-03-06 08:52,无,1968,736,351
K4PseBqbm,【70国共同发言，支持中方涉港立场及举措】今天，白俄罗斯代表70个国家在人权理事会第46届会议上作共同发言，支持中方在涉港问题上的立场和举措。对此，汪文斌表示，此举充分体现了事实胜于雄辩、公道自在人心！ #爱国者治港#  原图 ,,http://wx4.sinaimg.cn/large/004isIazly1go9dtxcuooj60u0195td102.jpg,无,无,2021-03-05 22:09,无,1905,168,224
K4Oj8uFqa,今天，他本该换上新衣服，步入人民大会堂……送别“缺席的代表”拉齐尼·巴依卡。致敬！ （央视）#两会青关注#  共青团中央的微博视频  ,,无,无,无,2021-03-05 19:14,微博视频号,5079,455,425
K4NUa2CZe,美智库呼吁美中合作应对疫情，汪文斌：中美应该而且能够携手应对人类共同挑战！观察者网的微博视频  ,,无,"http://f.video.weibocdn.com/001MJDtzgx07KQWOzx1K010412004ty30E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485411&ssig=Lh0Fa3UM8Z&KID=unistore,video",无,2021-03-05 18:12,微博视频号,715,58,96
K4Nw1ms4I,势在必行！落实“爱国者治港”原则，堵塞香港选举制度漏洞刻不容缓！#两会青关注# 央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/28ZJuuv1lx07KQNe4rji01041200gtQN0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622485412&ssig=tXmFNT%2FJVz&KID=unistore,video",无,2021-03-05 17:13,微博视频号,1808,180,239
K4NhxE1RG,【划重点！为什么要完善香港特区选举制度？】受全国人大常委会委托，王晨作关于全国人民代表大会关于完善香港特区选举制度的决定草案的说明：①完善香港特别行政区选举制度的必要性和重要性；②完善香港特别行政区选举制度的总体要求、重要原则、基本思路和推进方式；③决定草案分为导语和正文两部分.......#两会青关注# 人民日报的微博视频                                 ,,无,"http://f.video.weibocdn.com/RvUUmtI7lx07KQHtgh8s01041206wO2P0E030.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485418&ssig=X%2FGxLzYHmr&KID=unistore,video",无,2021-03-05 16:37,微博视频号,851,161,118
K4MMAao2d,【雷锋精神无惧抹黑，依然在闪烁！】不知从什么时候开始，网络上忽然流行起解构英雄烈士的段子。和很多的英雄烈士的境遇一样，雷锋也一直被人“惦记”着。对雷锋事迹的歪曲和雷锋形象的诋毁，是在妄图扭曲人们的价值观，营造一种冷漠的社会环境。然而“雷锋精神”从未远去，它镌刻在每个中国人的心底！#青苹# 离开雷锋的日子 | 青苹                                 ,,无,无,无,2021-03-05 15:21,微博 weibo.com,2011,373,254
K4MzgA81d,【#23年前洪水中抱树女孩成为警察# 】23年前，一场洪水冲毁了无数人的家园，夺走了很多人的生命。那晚，奶奶用双手把6岁的江珊推上了一棵白杨树，让她抱紧不要松手......9个小时之后，一名头上戴五角星的武警消防官兵将她救了下来。江珊一直都记得救她的人叫王明华。今天，江珊实现了她的愿望，成为一名光荣的人民警察。 http://t.cn/A6tpILrZ                                 ,,无,无,无,2021-03-05 14:48,微博视频号,2825,273,258
K4MbnfWvG,【尽最大努力帮助青年人缓解住房困难  】李克强：坚持“房子是用来住的，不是用来炒的”定位。解决好大城市住房突出问题，尽最大努力帮助新市民、青年人等缓解住房困难！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/Vv1IpCdLlx07KQuWA0ha010412004xjU0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485430&ssig=i1FYrCyZFQ&KID=unistore,video",无,2021-03-05 13:49,微博视频号,1089,155,287
K4LCtpURS,【学习！#政府工作报告金句#来了！】①2020年交出一份人民满意、世界瞩目、可以载入史册的答卷；②努力让广大学生健康快乐成长，让每个孩子都有人生出彩的机会；③解决好吃饭问题始终是头等大事，我们一定要下力气也完全有能力保障好14亿人的粮食安全……更多↓↓#两会青关注#  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/004isIazly1go8wwsd7q4j60u012w7b302.jpg,http://ww3.sinaimg.cn/large/004isIazly1go8wwsjohaj60u012wq7p02.jpg,http://ww1.sinaimg.cn/large/004isIazly1go8wwsr3syj60u012wdkr02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go8wwszfc6j60u012wjy702.jpg,http://ww2.sinaimg.cn/large/004isIazly1go8wwtqjsrj60u012w44a02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go8wwtz6urj60u012wk0c02.jpg,http://ww4.sinaimg.cn/large/004isIazly1go8wwu6fwdj60u012w44z02.jpg,http://ww1.sinaimg.cn/large/004isIazly1go8wwue37xj60u012wdl002.jpg,http://ww3.sinaimg.cn/large/004isIazly1go8wwuuiygj60u012wn2702.jpg",无,无,2021-03-05 12:23,无,4622,2719,292
K4KRy1ctL,收藏学习！极简版政府工作报告来了！#两会青关注#  政府工作报告极简版来了！只有600字  ,,无,无,无,2021-03-05 10:28,微博 weibo.com,1265,680,161
K4KtUkpDw,“微雨众卉新，一雷惊蛰始。”今日，#惊蛰#。一起迎接生机勃勃的春天！  原图 ,,http://wx1.sinaimg.cn/large/004isIazly1go8rvpy24ag60u01774qp02.gif,无,无,2021-03-05 09:30,无,989,159,271
K4K2KEKT6,【三月春风处处留，雷锋精神心中留】他是普通的一个兵，短暂一生做过许多好事。他用22岁的年轻生命，诠释着信念、无私、奉献与爱。“如果你是一滴水，你是否滋润了一寸土地？如果你是一线阳光，你是否照亮了一分黑暗？”今天，学习#雷锋纪念日#。你做过的最“雷锋”的事是___  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/004isIazly1go8pc6fxmbj60xc0xc4qp02.jpg,http://ww1.sinaimg.cn/large/004isIazly1go8pxv3ji2j60xc0xc1kx02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go8py07yi5j60xc0xc1kx02.jpg,http://ww4.sinaimg.cn/large/004isIazly1go8py3gvgaj60xc0xc4qp02.jpg,http://ww1.sinaimg.cn/large/004isIazly1go8pc5k9fij60xc0xc1kx02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go8py7e40mj60xc0xc4qp02.jpg,http://ww1.sinaimg.cn/large/004isIazly1go8pyatj1bj60xc0xc4qp02.jpg,http://ww1.sinaimg.cn/large/004isIazly1go8pybjmpij60xc0xc4qp02.jpg,http://ww2.sinaimg.cn/large/004isIazly1go8pycdj8uj60xc0xc4qp02.jpg",无,无,2021-03-05 08:23,无,2150,841,368
K4GKxqgyg,我们爱我们的民族，这是我们自信心的泉源！#纪念周恩来诞辰123周年#  原图 ,,http://wx1.sinaimg.cn/large/004isIazly1go8be83h4xj60xc1e04j202.jpg,无,无,2021-03-05 00:00,无,26401,9278,3823
K4GnFgPRQ,父母哪句话让你受益终身？评论区分享一下吧#团团卧谈会#  原图 ,,http://wx1.sinaimg.cn/large/004isIazly1go89s8maw7j60rs0rsgpn02.jpg,无,无,2021-03-04 23:03,无,1191,103,670
K4Gaxd7Ge,缅甸打工，月入过万？和人聊天，就能发财？缅甸北部，我来了！然后…… #别被忽悠着去缅甸北了# @警花说 共青团中央的微博视频  ,,无,无,无,2021-03-04 22:31,微博视频号,2733,215,324
K4FsXvXEm,【谢谢守护！#拉齐尼一家特殊的全家福#】中宣部追授拉齐尼时代楷模称号。在节目现场，拉齐尼的儿子拉迪尔，捧着爸爸的衣服。拉齐尼的女儿都尔汗含泪说，“因为爸爸工作特别忙，我们没有拍过全家福，这也成为了我们家的一个遗憾。今天我们把爸爸的衣服带来了，拍一张全家福……” 央视军事的微博视频  ,,无,"http://f.video.weibocdn.com/DotbOBEDlx07KPoTxCh201041200sXMK0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485440&ssig=wxktu0JeHn&KID=unistore,video",无,2021-03-04 20:43,微博视频号,2132,209,291
K4F4NEW9R,曾两次赴新疆考察的法国记者：西方关于维吾尔族的反华报道没有一句真相。人民网的微博视频  ,,无,"http://f.video.weibocdn.com/IydbI9mDlx07KPhg0WQU01041202gfD30E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485441&ssig=TlXKL%2FajOm&KID=unistore,video",无,2021-03-04 19:44,微博视频号,1882,178,176
K4EHGe6jy,【“国学”幼儿园给幼童全素饮食，还功德无量？】近日，一幼儿园宣传内容显示，就读的孩子在接受《弟子规》《常礼举要》等国学教育的同时，隔绝肉食顿顿吃素。对此，有科普博主指出，学龄前儿童纯素饮食会造成严重营养不良，这种安排涉嫌“虐待儿童”。目前，当地已成立调查组开展调查。  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/004isIazly1go828onmznj60n00hgadq02.jpg,http://ww1.sinaimg.cn/large/004isIazly1go828ozlvhj60n00qtn1202.jpg,http://ww1.sinaimg.cn/large/004isIazly1go828p6345j60dw0d3t9g02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go828pebxpj60dw0ktab602.jpg,http://ww3.sinaimg.cn/large/004isIazly1go82cxxda3j60dw0cm40u02.jpg,http://ww2.sinaimg.cn/large/004isIazly1go828osv29j60dw06eac502.jpg",无,无,2021-03-04 18:47,无,6002,294,637
K4Ef0l35t,【网传四川一老人摔跤“没人敢扶”？目击者痛斥断章取义】3月2日，一段在四川攀枝花，一名老人摔倒在人行通道的台阶上不停抽搐，群众聚集在周围的视频引发争议。随后，有目击者澄清表示，视频并非实情，已有人第一时间联系警察。3月3日，视频发布者更新后续，真相曝光。共青团中央的微博视频  ,,无,无,无,2021-03-04 17:36,微博视频号,2363,109,275
K4DV5nOVt,无声的国歌，爱国的心！当国歌在人民大会堂响起，这个细节让人感动。 #两会青关注# 共青团中央的微博视频  ,,无,无,无,2021-03-04 16:47,微博视频号,3607,430,338
K4Dv45b3u,【一年四季棉袄+拖鞋，这群孩子们的混搭你看懂了吗？】“为什么不捐赠一批旅游鞋去？”不是不捐，而是不穿。翻山越岭，走路过河，旅游鞋哪有穿拖鞋方便！自从他来了，一切都变了！  共青团中央的微博视频  ,,无,无,无,2021-03-04 15:43,微博视频号,704,134,112
K4D94ETEC,【#雨下到哪就接到哪#！印度将启动“百日接雨计划”】据印度媒体报道，印度总理莫迪在当地时间2月28日宣布，印度水利部将在雨季到来前启动一项为期100天的“接雨计划”，莫迪表示“雨水下到哪就到哪接”。目前，具体接雨措施还未对外公布。@国际在线新闻 国际在线新闻的微博视频  ,,无,"http://f.video.weibocdn.com/tyOeCeOnlx07KOVKmp6001041200N6At0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485451&ssig=OFiuoacXFt&KID=unistore,video",无,2021-03-04 14:49,微博视频号,861,88,215
K4CM432Ry,【皮山姑娘上了BBC，就被西方媒体这样扭曲了】3月2日，BBC推出了一篇所谓“重磅调查”，报道中断章取义，妄称“中国政府以减贫计划为幌子，强迫新疆地区少数民族参与劳动”。而BBC所谓的独家证据，实际上是央视2017年播出的走基层报道。原本积极向上的报道，在BBC蓄意剪辑嫁接后，却成了抹黑中国的最新“例证”！             [组图共4张]      原图                             ,,"http://ww4.sinaimg.cn/large/004isIazly1go7tug29u7j60m80hfadb02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go7tug7j8gj60v50jln0r02.jpg,http://ww3.sinaimg.cn/large/004isIazly1go7tugesr5j60v00jvado02.jpg,http://ww2.sinaimg.cn/large/004isIazly1go7tufffhcj60n08zm1ky02.jpg",无,无,2021-03-04 13:52,无,4434,430,450
K4Cod3seR,【美国务卿：将继续在全世界推广民主，但不会用武力】3日，美国国务卿布林肯发表任内首场主要外交政策演讲，表示未来美国将继续致力于在全世界推进民主发展，但会改变策略，不会通过高昂的军事干预或动用武力推翻他国政权。#警惕颜色革命# 微丢的微博视频  ,,无,"http://f.video.weibocdn.com/003dnqRKgx07KOR8PNug01041200b8A40E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485459&ssig=CHxU76hUDF&KID=unistore,video",无,2021-03-04 12:54,微博视频号,2976,162,550
K4C5NwZxR,6岁女孩病逝，家人捐出其肝脏、肾脏和眼角膜......这些器官可救5人。谢谢你，善良的小天使！送别！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/qYTO2wM4lx07KOWR7QnC010412002vK50E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622485460&ssig=cjiC87m%2F1f&KID=unistore,video",无,2021-03-04 12:08,微博视频号,7022,710,1002
K4BwQ8dZU,“这里缅甸北部，我生长的地方，欢迎来到我的世界，娇贵的小公主……”（✘）#别被忽悠着去缅甸北了#！河南信阳警方紧急预警：不少中国公民被骗往缅甸北遭敲诈勒索强迫卖淫等犯罪行为！ #中国公民被骗往缅北遭敲诈勒索#  原图 ,,http://wx2.sinaimg.cn/large/004isIazly1go7oco9js4j60iq0hjtc102.jpg,无,无,2021-03-04 10:42,无,47057,3560,2824
